,poverty_percentage,join_key
1033,25.7,"(143.0, 2021)"
1044,2.8,"(144.0, 2010)"
1045,2.8,"(144.0, 2011)"
1046,1.9,"(144.0, 2012)"
1047,1.9,"(144.0, 2013)"
1048,1.9,"(144.0, 2014)"
1049,1.9,"(144.0, 2015)"
1050,0.9,"(144.0, 2016)"
1051,0.9,"(144.0, 2017)"
1052,0.9,"(144.0, 2018)"
1053,0.9,"(144.0, 2019)"
1054,0.9,"(144.0, 2020)"
1055,0.9,"(144.0, 2021)"
1066,2.0,"(145.0, 2010)"
1067,2.6,"(145.0, 2011)"
1068,2.7,"(145.0, 2012)"
1069,2.7,"(145.0, 2013)"
1070,3.2,"(145.0, 2014)"
1071,6.2,"(145.0, 2015)"
1072,7.5,"(145.0, 2016)"
1073,9.1,"(145.0, 2017)"
1074,9.1,"(145.0, 2018)"
1075,9.1,"(145.0, 2019)"
1076,9.1,"(145.0, 2020)"
1077,9.1,"(145.0, 2021)"
1088,60.0,"(148.0, 2010)"
1089,38.1,"(148.0, 2011)"
1090,38.1,"(148.0, 2012)"
1091,38.1,"(148.0, 2013)"
1092,38.1,"(148.0, 2014)"
1093,38.1,"(148.0, 2015)"
1094,38.1,"(148.0, 2016)"
1095,38.1,"(148.0, 2017)"
1096,38.1,"(148.0, 2018)"
1097,38.1,"(148.0, 2019)"
1098,38.1,"(148.0, 2020)"
1099,38.1,"(148.0, 2021)"
1110,0.3,"(150.0, 2010)"
1111,0.3,"(150.0, 2011)"
1112,0.4,"(150.0, 2012)"
1113,0.3,"(150.0, 2013)"
1114,0.5,"(150.0, 2014)"
1115,0.5,"(150.0, 2015)"
1116,0.4,"(150.0, 2016)"
1117,0.4,"(150.0, 2017)"
1118,0.3,"(150.0, 2018)"
1119,0.3,"(150.0, 2019)"
1120,0.3,"(150.0, 2020)"
1121,0.3,"(150.0, 2021)"
1132,0.1,"(151.0, 2010)"
1133,0.1,"(151.0, 2011)"
1134,0.1,"(151.0, 2012)"
1135,0.1,"(151.0, 2013)"
1136,0.5,"(151.0, 2014)"
1137,0.4,"(151.0, 2015)"
1138,0.1,"(151.0, 2016)"
1139,0.3,"(151.0, 2017)"
1140,0.2,"(151.0, 2018)"
1141,0.2,"(151.0, 2019)"
1142,0.2,"(151.0, 2020)"
1143,0.2,"(151.0, 2021)"
1154,1.3,"(152.0, 2010)"
1155,0.6,"(152.0, 2011)"
1156,0.6,"(152.0, 2012)"
1157,0.4,"(152.0, 2013)"
1158,0.4,"(152.0, 2014)"
1159,0.3,"(152.0, 2015)"
1160,0.3,"(152.0, 2016)"
1161,0.3,"(152.0, 2017)"
1162,0.3,"(152.0, 2018)"
1163,0.3,"(152.0, 2019)"
1164,0.3,"(152.0, 2020)"
1165,0.3,"(152.0, 2021)"
1176,0.3,"(154.0, 2010)"
1177,0.4,"(154.0, 2011)"
1178,0.2,"(154.0, 2012)"
1179,0.3,"(154.0, 2013)"
1180,0.3,"(154.0, 2014)"
1181,0.2,"(154.0, 2015)"
1182,0.2,"(154.0, 2016)"
1183,0.3,"(154.0, 2017)"
1184,0.3,"(154.0, 2018)"
1185,0.3,"(154.0, 2019)"
1186,0.3,"(154.0, 2020)"
1187,0.3,"(154.0, 2021)"
1198,0.1,"(155.0, 2010)"
1199,0.0,"(155.0, 2011)"
