,join_key,full_time_researchers_per_million
834,"(246, 2020)",6861.10974
835,"(246, 2021)",6861.10974
846,"(250, 2010)",3873.01285
847,"(250, 2011)",3942.38881
848,"(250, 2012)",4073.25058
849,"(250, 2013)",4154.81555
850,"(250, 2014)",4233.6383
851,"(250, 2015)",4307.48974
852,"(250, 2016)",4414.69944
853,"(250, 2017)",4561.11283
854,"(250, 2018)",4715.31913
855,"(250, 2019)",4715.31913
856,"(250, 2020)",4715.31913
857,"(250, 2021)",4715.31913
871,"(268, 2013)",566.35449
872,"(268, 2014)",1059.47472
873,"(268, 2015)",1280.46364
874,"(268, 2016)",1306.59079
875,"(268, 2017)",1307.40616
876,"(268, 2018)",1463.77339
877,"(268, 2019)",1463.77339
878,"(268, 2020)",1463.77339
879,"(268, 2021)",1463.77339
890,"(270, 2010)",102.85707
891,"(270, 2011)",31.70743
892,"(270, 2012)",31.70743
893,"(270, 2013)",31.70743
894,"(270, 2014)",31.70743
895,"(270, 2015)",31.70743
896,"(270, 2016)",31.70743
897,"(270, 2017)",31.70743
898,"(270, 2018)",52.89256
899,"(270, 2019)",52.89256
900,"(270, 2020)",52.89256
901,"(270, 2021)",52.89256
912,"(275, 2010)",323.50083
913,"(275, 2011)",323.50083
914,"(275, 2012)",323.50083
915,"(275, 2013)",575.10944
916,"(275, 2014)",575.10944
917,"(275, 2015)",575.10944
918,"(275, 2016)",575.10944
919,"(275, 2017)",575.10944
920,"(275, 2018)",575.10944
921,"(275, 2019)",575.10944
922,"(275, 2020)",575.10944
923,"(275, 2021)",575.10944
934,"(276, 2010)",4058.00596
935,"(276, 2011)",4188.80831
936,"(276, 2012)",4352.32261
937,"(276, 2013)",4366.6912
938,"(276, 2014)",4320.70432
939,"(276, 2015)",4743.7863
940,"(276, 2016)",4861.74717
941,"(276, 2017)",5076.51794
942,"(276, 2018)",5211.87408
943,"(276, 2019)",5211.87408
944,"(276, 2020)",5211.87408
945,"(276, 2021)",5211.87408
956,"(288, 2010)",37.95861
957,"(288, 2011)",37.95861
958,"(288, 2012)",37.95861
959,"(288, 2013)",37.95861
960,"(288, 2014)",37.95861
961,"(288, 2015)",89.11206
962,"(288, 2016)",89.11206
963,"(288, 2017)",89.11206
964,"(288, 2018)",89.11206
965,"(288, 2019)",89.11206
966,"(288, 2020)",89.11206
967,"(288, 2021)",89.11206
978,"(300, 2010)",1889.68736
979,"(300, 2011)",2278.51787
980,"(300, 2012)",2300.31448
981,"(300, 2013)",2721.31093
982,"(300, 2014)",2791.8715
983,"(300, 2015)",3255.9863
984,"(300, 2016)",2769.89991
985,"(300, 2017)",3311.44856
986,"(300, 2018)",3482.71652
987,"(300, 2019)",3482.71652
988,"(300, 2020)",3482.71652
989,"(300, 2021)",3482.71652
1000,"(304, 2010)",701.71119
1001,"(304, 2011)",701.71119
1002,"(304, 2012)",701.71119
1003,"(304, 2013)",701.71119
1004,"(304, 2014)",701.71119
1005,"(304, 2015)",701.71119
1006,"(304, 2016)",701.71119
1007,"(304, 2017)",701.71119
1008,"(304, 2018)",701.71119
1009,"(304, 2019)",701.71119
1010,"(304, 2020)",701.71119
1011,"(304, 2021)",701.71119
1022,"(316, 2010)",303.02648
1023,"(316, 2011)",303.02648
1024,"(316, 2012)",303.02648
1025,"(316, 2013)",303.02648
1026,"(316, 2014)",303.02648
1027,"(316, 2015)",303.02648
1028,"(316, 2016)",303.02648
1029,"(316, 2017)",303.02648
1030,"(316, 2018)",303.02648
1031,"(316, 2019)",303.02648
1032,"(316, 2020)",303.02648
1033,"(316, 2021)",303.02648
1044,"(320, 2010)",24.81132
1045,"(320, 2011)",24.75115
1046,"(320, 2012)",26.91416
1047,"(320, 2013)",17.37646
1048,"(320, 2014)",20.28482
1049,"(320, 2015)",22.15054
1050,"(320, 2016)",22.07069
1051,"(320, 2017)",14.07038
1052,"(320, 2018)",12.87117
1053,"(320, 2019)",12.87117
1054,"(320, 2020)",12.87117
1055,"(320, 2021)",12.87117
1071,"(340, 2015)",22.38581
1072,"(340, 2016)",22.38581
1073,"(340, 2017)",34.68019
1074,"(340, 2018)",34.68019
1075,"(340, 2019)",34.68019
1076,"(340, 2020)",34.68019
1077,"(340, 2021)",34.68019
1088,"(344, 2010)",3114.55198
1089,"(344, 2011)",3085.38105
1090,"(344, 2012)",3191.214
1091,"(344, 2013)",3377.87416
1092,"(344, 2014)",3591.19623
1093,"(344, 2015)",3565.12862
1094,"(344, 2016)",3741.2636
1095,"(344, 2017)",3782.34083
1096,"(344, 2018)",4026.59891
1097,"(344, 2019)",4026.59891
1098,"(344, 2020)",4026.59891
1099,"(344, 2021)",4026.59891
1110,"(348, 2010)",2149.8141
1111,"(348, 2011)",2326.16657
1112,"(348, 2012)",2416.47759
1113,"(348, 2013)",2546.08461
1114,"(348, 2014)",2673.43438
1115,"(348, 2015)",2589.09791
1116,"(348, 2016)",2645.75681
1117,"(348, 2017)",2921.5331
1118,"(348, 2018)",3237.70314
1119,"(348, 2019)",3237.70314
1120,"(348, 2020)",3237.70314
1121,"(348, 2021)",3237.70314
1132,"(352, 2010)",7925.97655
1133,"(352, 2011)",6981.39572
1134,"(352, 2012)",6981.39572
1135,"(352, 2013)",5648.36011
1136,"(352, 2014)",5648.36011
1137,"(352, 2015)",5887.90678
1138,"(352, 2016)",5887.90678
1139,"(352, 2017)",6130.51111
1140,"(352, 2018)",6130.51111
1141,"(352, 2019)",6130.51111
1142,"(352, 2020)",6130.51111
1143,"(352, 2021)",6130.51111
1154,"(356, 2010)",156.21967
1155,"(356, 2011)",156.21967
1156,"(356, 2012)",156.21967
1157,"(356, 2013)",156.21967
1158,"(356, 2014)",156.21967
1159,"(356, 2015)",216.00083
1160,"(356, 2016)",216.00083
1161,"(356, 2017)",216.00083
1162,"(356, 2018)",252.70392
1163,"(356, 2019)",252.70392
1164,"(356, 2020)",252.70392
1165,"(356, 2021)",252.70392
1176,"(360, 2010)",89.4684
1177,"(360, 2011)",89.4684
1178,"(360, 2012)",89.4684
1179,"(360, 2013)",89.4684
1180,"(360, 2014)",89.4684
1181,"(360, 2015)",89.4684
1182,"(360, 2016)",178.87539
1183,"(360, 2017)",215.19041
1184,"(360, 2018)",215.99355
1185,"(360, 2019)",215.99355
1186,"(360, 2020)",215.99355
1187,"(360, 2021)",215.99355
1198,"(364, 2010)",743.10098
1199,"(364, 2011)",743.10098
